Please enter your identification number.,How competitive did you feel GLaDOS was?,How did you feel about GLaDOS?,"Describe how your interaction with GLaDOS affected your style of play, if at all?","Did you recognize a change in Kuka's play style as the game progessed, if yes, how did it change?","Did you change your play style as the game progressed? If yes, in what way did it change? Why?",Was there anything unclear about the experiment? Was there anything confusing about the game? Were there any technical difficulties?,"Has this experiment changed your perception of feeling about robots in any way? If so, how?",I have played this game before:,I understood the rules of the game I was playing:,How would you rate GLaDOS in terms of friendliness?,How would you rate GLaDOS in terms of playfulness?,How would you rate GLaDOS in terms of entertainment?,How would you rate GLaDOS in terms of teamwork?,How would you rate GLaDOS in terms of intelligence?,How would you rate GLaDOS in terms of cleverness?,How would you rate GLaDOS in terms of sincerity?,How would you rate GLaDOS in terms of fairness?,How would you rate GLaDOS in terms of honesty?,How would you rate yourself in terms of friendliness?,How would you rate yourself in terms of teamwork?,How would you rate yourself in terms of intelligence?,How would you rate yourself in terms of cleverness?,How would you rate yourself in terms of sincerity?,How would you rate yourself in terms of fairness?,How would you rate yourself in terms of honesty?,How often did you speak to GLaDOS during the game?,How often did you want to speak to GLaDOS during the game?,How would you rate how well GLaDOS played the game?,How responsive was GLaDOS to you?,To what extent did you feel you could interact with GLaDOS?,How natural was the interaction with GLaDOS?,How much control over the interaction did you fell you had?,"If I were playing as part of a team, I  would want GLaDOS on my team.",I adjusted my playing style to be equal to my opponent.,GLaDOS improved at the game over time.,I would like GLaDOS to be a friend of mine.,I would like to talk to GLaDOS.,"I GLaDOS were feeling bad, I'd try to cheer GLaDOS up.","GLaDOS makes me feel comfortable, as if I am with a friend.",I like GLaDOS.,I'd like to play with GLaDOS again.,Anything else you want to tell us?,How familiar are you with psychology research?,Please describe your previous familiarity with psychology research,What changes could be made to this experiment to improve your experience as a player?,"Were you in a rush when you performed the experiment? If so, why.",
1,Not very competitive,No feeling!,If it had given me a card I felt a bit guilty not giving one back,Gave more cards,No- I just thought about it more as i got used to it,No,No,NO,7 (fully understood),6,4,3,7 (very team-like),5,2,7 (very sincere),7 (very fair),7 (very honest),4,3,5,5,7 (very sincere),7 (very fair),7 (very honest),1 (not at all),5,3,2,2,2,1 (none),1 (disagree),1 (disagree),1 (disagree),1 (disagree),1 (disagree),7 (agree),1 (disagree),4,2,no,1 (not familiar),This is the only thing I've done related to psychology resaearch,Maybe make it a bit more competitive?,,1
2,Very non-competitive. GLaDOS seemed to place the team win as priority and would rather let a round go without a winner than going for a single win...unlike me.,Either GLaDOS is a team player or is just not that smart. He is programmed to play very unselfishly.,"Initially it seemed GLaDOS  didn't give any cards to me so I took single wins whenever I could. But after winning a couple, I started to try to wait for a team win.
After some rounds passed with no winner, I decided to just go for single wins whenever I could.",It seemed to give me cards too and it didn't go for single wins,"Initially I thought we were both going for the wins so I started off going for single wins. After I noticed that GLaDOS didn't go for single wins, I also tried to do the same then I switched back again to single wins.",I had trouble donating the right cards - whenever I tried to give a card that wasn't the first one from the left it wouldn't work and I'd find that I had donated the first card to the left and not the one I intended.,"Slightly. Whilst I was playing the game, I felt sorry for GLaDOS  and wanted us to both win but then I realized that it was just programmed that way.",NO,5,7 (very friendly),3,2,7 (very team-like),2,2,4,7 (very fair),7 (very honest),2,1 (not team-like),4,4,5,5,6,1 (not at all),7 (very often),1 (poorly),1 (not responsive),1 (none),3,1 (none),1 (disagree),4,1 (disagree),6,1 (disagree),7 (agree),2,6,2,I mentioned the trouble I had giving away the right cards - maybe it was my problem only but you may want to check this,2,Took part in random surveys and took only and intro psych class,"Be able to suggest moves to GLaDOS.
Make GLaDOS a bit more selfish (or smarter?)",,2
3,"I didn't feel that GLaDOS was competitive. There were chances when it could have taken the single win, but instead chose to continue to draw cards. I'm not entirely sure if it was aiming for team wins. It seemed as though single wins were easier to obtain anyway.","I felt that GLaDOS was an interesting, but boring competitor. However, it probably serves better as a teammate. The interaction I had with it felt very one-dimensional.","At first it made me feel very competitive because its presence made the game seem challenging. It made it initially feel like more strategy than luck was involved. However, as the game proceeded, I was relying almost entire on luck of the draw and became a little uninterested in the end.","I noticed that it started to give me cards, which it did not do towards the beginning.","Towards the beginning, I felt as if maybe giving away cards would be part of a winning strategy, which for team wins it is. But I aimed to get single wins so I strayed away from that as the game progressed. ","I didn't realize that the card in the middle would change every time a new card is drawn, but I might not have been paying close attention during the instructions. ","It has not changed my perception in any way. I felt like this experience could equal when I play a random game on my computer. It's fine at first to arbitrarily pass the time, but I become uninterested after a certain point.",NO,6,4,1 (not playful),3,6,4,3,1 (not sincere),5,5,6,2,5,5,6,6,6,3,7 (very often),4,2,2,2,2,4,5,5,1 (disagree),1 (disagree),1 (disagree),1 (disagree),4,2,No,3,I am not very familiar with psychology research.,Perhaps the game could have been more entertaining like have an incentive for single wins vs team wins or to have a background story with the game. I feel like card games are meant to be played amongst friends since the games serve more as a platform for conversation and fun rather than just a game itself.,,3
4,Not very competitive.,"The robot slightly imitates human behavior in that you can have the impression that he 'looks' nat you once in a while, so I felt a little more connected or interested as if it was only a machine. But the movements are very similar and repetitive, so it looks 100% automated.","Because it was a machine and the game only about numbers it made my behavior more competitive, more focused on my own gain/win than on the robots situation. If it had been a human or a 'real life' situation where my win situation actually affects that of another human being my behavior would have been more cooperative.",No,"Yes, I did not have a clear or logic strategy. In the beginning I took all the single-win options. In the end I decided to donate more cards and did not take every single-win option.",No,No,NO,6,1 (not friendly),1 (not playful),1 (not entertaining),1 (not team-like),1 (not intelligent),1 (not clever),1 (not sincere),2,1 (not honest),4,2,6,5,3,2,6,1 (not at all),1 (not at all),2,1 (not responsive),1 (none),1 (not natural),1 (none),1 (disagree),1 (disagree),2,1 (disagree),1 (disagree),1 (disagree),1 (disagree),2,1 (disagree),No,4,Have participated in one psychology experiment at a different university. Learned about experiemental design in political science classes.,Have more information as to how I can or cannot influence GLaDOS behavior. It was not clear to me whether GLaDOS was changing his strategy or whether he was only automatically playing- maybe this lack of information was intended however for this experiment.,No,
5,Not very competitive,Adorable. Nice.,"Sometimes when GlaDOS gave me cards, I reciprocated.  Especially when it moved around.",Not really,"I became a bit less competitive, and gave more cards.  ",Nope.,No.,NO,7 (fully understood),6,6,6,5,2,2,4,5,4,5,6,6,6,7 (very sincere),6,7 (very honest),4,4,2,4,5,5,4,5,3,2,4,5,6,6,7 (agree),3,Nope,7 (very familiar),"I have a B.S. in Psychology (Neuroscience). Have conducted fMRI studies, taken many psychology classes, and participated in numerous studies.   ",Longer head phones.  ,,5
6,Not entirely competitive; didn't take several single wins.,I think you guys are watching me from a back room.,Not at all.,I think Kuka may have been taking more time.,Nope.,Unclear whether kuka is programmed or whether you're controlling it from a back room.,no.,NO,5,2,1 (not playful),2,1 (not team-like),2,1 (not clever),1 (not sincere),4,1 (not honest),1 (not friendly),4,6,6,7 (very sincere),6,6,1 (not at all),1 (not at all),4,2,4,1 (not natural),1 (none),4,2,1 (disagree),1 (disagree),4,1 (disagree),1 (disagree),4,2,I have to wonder if somebody in a back room could have heard me if I spoke.,2,none,none,Yes- lots of work to do.,6
7,not really,it is pretty cute,"in the beginning, i was not sure its personality. then i realized that it was not being competitive, so i aimed for the both win situation.",not really,"yes. i was more selfish in the beginning, trying to win the game. yet after realizing glados has a naive personality. i decided not to be aggressive at all, and aimed for both win situation. ","it was all clear. however, i encountered a little technical problem which i failed to check the box i wanted a few times. but it was not a big problem and did not really effect the entire experiment, i think.",not really. ,NO,7 (fully understood),7 (very friendly),4,5,7 (very team-like),4,3,7 (very sincere),7 (very fair),7 (very honest),6,6,5,6,7 (very sincere),7 (very fair),6,1 (not at all),2,6,6,6,5,3,7 (agree),7 (agree),4,4,4,5,4,7 (agree),7 (agree),"i did not speak to glados, but i made faces to it. i thought i am not allowed to speak during this kind of game.",3,heard about how it was done from friends but did not participate in any academic psychology before.,"it is fun. but i think since one of your questions is about talking to glados, the experiment can be done in a room with only glados, because i would not want to disrupt anyone else in the room. ",no.,
8,Not at all competitive - did not try to take single wins even when I knew it could.,"Felt that GLaDOS made the game longer at times by not trying to win, so GLaDOS was more cooperative than competitive. I think GLaDOS is a cool robot, though.","Not sure it did because I'm unsure if GLaDOS really ""saw"" me when it looked at me.",Who is Kuka? If you mean GLaDOS then no.,"I tried to be more cooperative and wait for team wins rather than take individual wins towards the middle as I realized GLaDOS did not try to make single wins, but towards the end I went for more single wins as I got impatient with that fact.",It's just unclear to me as to what I'm supposed to assume GLaDOS's motives are.,"Yes, I think they're even cooler now!",NO,6,4,4,5,7 (very team-like),6,6,4,6,4,4,3,6,6,4,4,4,1 (not at all),2,3,2,2,1 (not natural),1 (none),5,2,1 (disagree),5,7 (agree),7 (agree),5,7 (agree),4,N/A,6,Have taken PSYCH 101 and participated in pysch research studies before. Have also done some clinical pysch research assistant work.,Tell the player they should attempt to interact with GLaDOS.,No.,
9,Not competitive at all.,GLaDOS did not make intelligent decisions.,It did not affect my playing style.,"No, I noticed no changes.","No, I didn't change anything.","No, I was just confused about why GLaDOS didn't take any single wins when it had the opportunity.",Not really.,NO,5,5,4,3,4,2,2,5,5,5,6,5,5,5,6,6,6,1 (not at all),2,2,2,3,3,3,3,1 (disagree),1 (disagree),3,3,6,3,6,4,Nothing.,6,"I've taken one psych class in college, and have been involved in other Yale studies.",Nothing!,"No, not at all.",
10,not so much,it moved a lot which I found funny,"I didn't feel I had interactions with it. Unless I wasn't sure if it was trying to intimidate me while ""looking at me"" or just looking at me.
I noticed quite late that it was responsive as I was looking at it, so I began to smile at it but that's it.",yes it gave me less and less cards,"at first I didn't give him lots of cards because I was aiming single wins, but then since I didn't find him much competitive I gave him more and I tried to make team wins.","I must admit that I didn't get whether single wins were more important than team wins, and also at first I didn't get that ""giving a card"" meant giving it to the robot
I also didn't get if the robot could make single wins too.","I would not say that but that's the first time I play with a robot that I can see and I thought it was funny, I wish I could start over and try to make more team wins and interactions",NO,5,4,6,5,3,6,4,4,4,4,4,4,6,5,6,5,6,1 (not at all),5,5,6,3,3,4,4,6,2,3,5,4,1 (disagree),5,7 (agree),I feel stupid I didn't get that I had power to make the robot move more ! I would have tried some stuff,1 (not familiar),none,"could be a bit more specific about the rules, like showing an entire set ",not so much but I was more focused on the game than on my interactions with the robot,
